abbreviations   abbreviation
accessible_friends   accessible_friend
accessible_games   accessible_game
accounts   account
add_users   add_user
added_appmodules   added_appmodule
address   address
addresses   address
adds   add
admins   admin
advanced_settings   advanced_setting
adverts   advert
afrikaans   afrikaan
albums   album
alerts   alert
announcements   announcement
announces   announce
annoyances   annoyance
antimalware_programs   antimalware_program
antivirus   antivirus
antivirus_programs   antivirus_program
apnk_sites   apnk_site
app_essentials   app_essential
appears   appear
applications   application
appmodules   appmodule
archives   archive
areas   area
arrow_keys   arrow_key
articles   article
artifacts   artifact
artists   artist
asus   asus
attachments   attachment
audio_tutorials   audio_tutorial
authors   author
automatic_focus   automatic_focus
backups   backup
bard_express   bard_express
basics   basic
beeps   beep
bios   bios
blogs   blog
bookmarks   bookmark
books   book
braces   brace
brackets   bracket
brf_files   brf_file
browsers   browser
bugs   bug
builds   build
businesses   business
buttons   button
calls   call
capital_letters   capital_letter
capitals   capital
caps   cap
cases   case
categories   category
cds   cd
cell_coordinates   cell_coordinate
cells   cell
certified_individuals   certified_individual
channels   channel
characters   character
charts   chart
chats   chat
check_boxes   check_box
check_updates   check_update
checkboxes   checkbox
choices   choice
cities   city
class_nvdaobjects   class_nvdaobject
clients   client
codecs   codec
codes   code
colors   color
column_headers   column_header
columns   column
commands   command
communities   community
community_members   community_member
companies   company
computers   computer
concepts   concept
configuration_profiles   configuration_profile
congratulations   congratulation
connections   connection
contacts   contact
contents   content
controls   control
conversations   conversation
copies   copy
cores   core
countries   country
crashes   crash
creators   creator
databases   database
days   day
debug_nvdaobjects   debug_nvdaobject
debugwarning_nvdaobjects   debugwarning_nvdaobject
defaults   default
degrees   degree
demos   demo
descriptions   description
desktops   desktop
desktop   desktop
details   detail
developers   developer
devices   device
devs   dev
dialogs   dialog
dictionaries   dictionary
digits   digit
directions   direction
discuss   discus
discussions   discussion
display_drivers   display_driver
displays   display
docs   doc
documents   document
docx_files   docx_file
dollars   dollar
dots   dot
downloads   download
drivers   driver
drives   drive
dvds   dvd
ebooks   ebook
edition_process   edition_proces
editions   edition
effects   effect
electrons   electron
elements   element
email_attachments   email_attachment
email_contents   email_content
enhancements   enhancement
entries   entry
epub_files   epub_file
equals   equal
equations   equation
errors   error
essentials   essential
events   event
expressions   expression
false_positives   false_positive
favorites   favorite
features   feature
feeds   feed
fields   field
file_nvdaobjects   file_nvdaobject
file_subprocess   file_subproces
file_users   file_user
files   file
filters   filter
find_ways   find_way
fixes   fix
folders   folder
folks   folk
following_links   following_link
formats   format
forms   form
formulas   formula
forums   forum
frames   frame
freelists   freelist
friends   friend
function_keys   function_key
functions   function
games   game
general_settings   general_setting
gestures   gesture
gigs   gig
globalplugins   globalplugin
go_forms   go_form
good_results   good_result
google_docs   google_doc
google_hangouts   google_hangout
graphics   graphic
groups   group
guidelines   guideline
hangouts   hangout
headers   header
headings   heading
headphones   headphone
hiking_across   hiking_acros
hohenems   hohenem
hope_helps   hope_help
horizons   horizon
html_files   html_file
icons   icon
id_woodsideapps   id_woodsideapp
ideas   idea
identifiers   identifier
identities   identity
images   image
inches   inch
includes   include
infections   infection
input_gestures   input_gesture
installer_removeoldlibfiles   installer_removeoldlibfile
instructions   instruction
internals   internal
issues   issue
items   item
java_scripts   java_script
jaws_scripts   jaws_script
key_commands   key_command
keyboards   keyboard
keys   key
keystrokes   keystroke
kindle_books   kindle_book
labels   label
language_settings   language_setting
languages   language
laptops   laptop
later_versions   later_version
lets   let
letters   letter
lines   line
links   link
list_folders   list_folder
list_members   list_member
list_messages   list_message
listers   lister
lists   list
loss_charities   loss_charity
lots   lot
lyrics   lyric
machines   machine
macros   macro
mail_address   mail_addres
mail_clients   mail_client
mail_windows   mail_window
mails   mail
makes   make
malware_bytes   malware_byte
malwarebytes   malwarebyte
manage_accounts   manage_account
manuals   manual
manufacturers   manufacturer
many_people   many_person
maps   map
mathematical_symbols   mathematical_symbol
matters   matter
means   mean
members   member
menu_preferences   menu_preference
menus   menu
message_filters   message_filter
message_rules   message_rule
messages   message
modifications   modification
modules   module
monitors   monitor
move_items   move_item
moves   move
multiple_devices   multiple_device
navigational_sounds   navigational_sound
new_sounds   new_sound
new_users   new_user
new_voices   new_voice
newer_versions   newer_version
news   news
notes   note
notifications   notification
numbers   number
numbers_digits   numbers_digit
nvdaobjects   nvdaobject
objects   object
ocr_globalplugins   ocr_globalplugin
old_versions   old_version
old_windows   old_window
onecore_voices   onecore_voice
