"1",": a history of jaws and windows, was: training modules","hi all , i do have an old single speaker that i believe it was working with appolo12 it was expensice device, just wondering is there any value to it today?  thank you.  ronnie.","original","original",NULL,"undefined","undefined","undefined","Clarification","undefined","undefined"
"2","?luck with kindle?","has anyone had any luck using kindle for pc from amazon?","original","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"3","?luck with kindle?","anyone have any luck using kindle for pc by amazon?","original","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"4","?luck with kindle?","no i never had any success with the ap for pc!  how are things going for you with the application, does it work for you?","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"5","?luck with kindle?","yes you have to download the kindle for pc with   accessibillidey plug in the problum is that the app is named the same in eather   version. if you download that app though it will give you access to the text to   speech voice that will alow you to read the books that have text to speech   inabled. hth. from mich.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"6","?luck with kindle?","agreed, the kindle app is not my favorite environment (due mainly to  limited voice choices and low quality versions of the voices it does  have) but it does work.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"7","?luck with kindle?","well i have not had any luck on two of my pcs with the kindle for pcs with accessibillidey.  the kindle ap works on my iphone and ipad, with voiceover but i can't get it to work with jaws on eather of my laptops and amazon is no help.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"8","?luck with kindle?","did you do something different in order to get the ap to work on your systems?  i ask this question because i had a hard time trying to enter specific information.  i couldn't find some of the other items that were asked for.  if there is a way to get everything working properly please let me know?  thank you for any information that you might have.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"9","?luck with kindle?","i downloaded the apps to my phone and pad without a problem.  it is the kindle for pc i just cannot get to work at all.  i have installed twice.  i think amazon needs to spend some more time before... and some support would be great from amazon.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"10","?luck with kindle?","hi,    i am not sure what information you are talking about. as far as i  recall i installed the normal kindle app, discovered it is not  accessible at all then did a search for accessible kindle which had a  page for the accessible version as a high match.    and on that page was a link.  are you talking about the  username/password? as far as i recall those boxes were accessible as  normal and were no problem.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"11","?luck with kindle?","i used the kindle for pc to get books onto my pc where i use codex to  change into files i can otherwise read e.g. epub, etc.    -----  curtis delzer, hs.  k6vfo  san bernardino, ca","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"12","?luck with kindle?","please, can you give me some info on how you access the text. i have been  using kindle for pc, ipad and iphone and find the access poor.","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"13","?luck with kindle?","not in the past few years. i tried with windows 10 several months ago and   found that according to amazon s web site and a customer support representative   it hasn t been updated for versions of windows after windows 7. i m still   looking for other solutions for use on the computer as i have no interest in an   iphone.    chuck","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"14","?luck with kindle?","you need to install that     codex program and then the files which  you download from the kindle store go to my kindle content which is  under your documents,  and then the output from the codex app go to ebooks which is also under  your documents folder.  sorry so late in replying, but maybe something helps you sort this out.      -----  curtis delzer, hs.  k6vfo  san bernardino, ca","following","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"15","?luck with kindle? and codex","curtis,   thank you very much for your help, codex worked great.    i used google to find the codex app site.  i read all of the info at the  site and downloaded the program.  the install went great.  i converted a  kindle book to word.  i just read the book (85 pages), worked with jaws  and  the con. still had the links.  this is how the access should be.    thanks         -----original message-----  from: main@jfw.groups.io [mailto:main@jfw.groups.io] on behalf of curtis  delzer  sent: monday, may 23, 2016 11:42 am  to: main@jfw.groups.io  subject: re: ?luck with kindle?    you need to install that     codex program and then the files which  you download from the kindle store go to my kindle content which is under  your documents, and then the output from the codex app go to ebooks which is  also under your documents folder.  sorry so late in replying, but maybe something helps you sort this out.      -----  curtis delzer, hs.  k6vfo  san bernardino, ca    on mon, 16 may 2016 16:02:31 -0500  ""robert s juenger"" &lt;rjuenger@...&gt; wrote:     please, can you give me some info on how you access the text. i have   been using kindle for pc, ipad and iphone and find the access poor.  -----original message-----  from: main@jfw.groups.io [mailto:main@jfw.groups.io] on behalf of   curtis delzer  sent: monday, may 16, 2016 3:38 pm  to: main@jfw.groups.io  subject: re: ?luck with kindle?    i used the kindle for pc to get books onto my pc where i use codex to   change into files i can otherwise read e.g. epub, etc.    -----  curtis delzer, hs.  k6vfo  san bernardino, ca    on fri, 29 apr 2016 06:45:01 -0500  ""robert s juenger"" &lt;rjuenger@...&gt; wrote:     i downloaded the apps to my phone and pad without a problem.  it is   the kindle for pc i just cannot get to work at all.  i have installed   twice.  i think amazon needs to spend some more time before... and   some support would be great from amazon.        -----original message-----  from: david ingram [mailto:dingram269@...]  sent: friday, april 29, 2016 6:34 am  to: main@jfw.groups.io  subject: re: ?luck with kindle?    did you do something different in order to get the ap to work on   your systems?  i ask this question because i had a hard time trying to   enter specific information.  i couldn't find some of the other items   that were asked for.  if there is a way to get everything working   properly please let me know?  thank you for any information that you might have.      -----original message-----  from: soronel haetir [mailto:soronel.haetir@...]  sent: thursday, april 28, 2016 11:23 pm  to: main@jfw.groups.io  subject: re: ?luck with kindle?    agreed, the kindle app is not my favorite environment (due mainly to   limited voice choices and low quality versions of the voices it does  have) but it does work.    on 4/28/16, mich verrier &lt;michv@...&gt; wrote:   yes you have to download the kindle for pc with accessibillidey   plug in the problum is that the app is named the same in eather   version.     if you download that app though it will give you access to the   text to speech voice that will alow you to read the books that   have text to speech inabled. hth. from mich.    ----- original message -----    from: robert s juenger    to: main@jfw.groups.io    sent: thursday, april 28, 2016 12:40 pm    subject: ?luck with kindle?        anyone have any luck using kindle for pc by amazon?         --  soronel haetir  soronel.haetir@...","original","tagged",NULL,"undefined","undefined","undefined","undefined","undefined","Junk"
"16","1 good person offered to help people on this list; am seeking facebook help","hi,  this week end ,  a  helpful  person offered to help people on this list. contacted him and found he  is a  fine  person.  i am seeking to find some one on this list who  really knows facebook well  for using a specific  facebook site.     please would you contact me.     please understand i have listened to  the webinars and belong to facebook list  so don t suggest that.     whati need is  contact information sent to me privately  re some one who knows facebook well.     many thanks.","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"17","19 folders total, but can only view about 8 of them when using linked inbox. what to do?","hello,       i just linked a couple inboxes yesterday, but when i go to move stuff, i only hear jaws report 8 of the 19 folders. i don't know how to view the rest of the folders when moving items, so what should i do?   thank you,  ashleigh","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"18","19 folders total, but can only view about 8 of them when using linked inbox. what to do?","is your window maximized?          dave  oregonian, woodworker, engineer, musician, and pioneer","following","tagged",NULL,"undefined","Problem","undefined","undefined","undefined","undefined"
"19","19 folders total, but can only view about 8 of them when using linked inbox. what to do?","no. it s restored, and i can t seem to maximize with alt space and x. any other ideas?    ashleigh piccinino         sent from    mail  for windows 10","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"20","19 folders total, but can only view about 8 of them when using linked inbox. what to do?","ashleigh,           you can try to maximize with windows up arrow.    good luck.    paul","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"21","19 folders total, but can only view about 8 of them when using linked inbox. what to do?","hello;  i hope i m understanding your question;        to do this          1. in the mail app, tap or click the more option to expose your email folders.     2. locate the folder you want quick access to and right-click (or long tap) and choose add to favorites.     so, open windows 10 mail,  once the app loads,  using jaws, tab until you hear something like,  navigation collapsed,  press the spacebar to expand,  now you should see all of your folders,  now find the folder, and press applications key, and enter on add  to favorites.  hope this helps.","following","tagged",NULL,"undefined","undefined","undefined","undefined","Elaboration","undefined"
"22","19 folders total, but can only view about 8 of them when using linked inbox. what to do?","i can see all my folders, but i guess i ll just have to move things based on the account.              sent from    mail  for windows 10","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
"23","2 accounts in outlook 2016","hi:      i have 2 accounts in my outlook 2016 and am using jaws 18.      for some reason, after i added my 2 nd  account, a gmail one, i no longer receive messages in my original account although i did not touch anything there.      any advice?      thank you.      regards,  lauren","original","tagged",NULL,"Help","undefined","undefined","undefined","undefined","undefined"
"24","2016 and advanced find","since updating to outlook 2016, the advanced find dialog hangs on  after i press the find now button. it hangs on stop and stays there.  it used to simply find what i was looking for, (say something in the subject line) and i could find the list of messages by pressing the f6 key.  has anyone else had this issue?           brian albriton  iphone 2136103315  cocanut50@...","original","tagged",NULL,"undefined","Problem","undefined","undefined","undefined","undefined"
"25","2016 and advanced find","hello there;  i also find the advance search doesn't work, i use the f3 key to search type  in criteria,    shift+tab a few times to the search results.             statistics are like a bikini.  what they reveal is suggestive, but  what they conceal is vital.","following","tagged",NULL,"undefined","undefined","Answer","undefined","undefined","undefined"
