ID,Title,Post,Tag
16,1 good person offered to help people on this list; am seeking facebook help,"hi,  this week end ,  a  helpful  person offered to help people on this list. contacted him and found he  is a  fine  person.  i am seeking to find some one on this list who  really knows facebook well  for using a specific  facebook site.     please would you contact me.     please understand i have listened to  the webinars and belong to facebook list  so don t suggest that.     whati need is  contact information sent to me privately  re some one who knows facebook well.     many thanks.",Help
17,"19 folders total, but can only view about 8 of them when using linked inbox. what to do?","hello,       i just linked a couple inboxes yesterday, but when i go to move stuff, i only hear jaws report 8 of the 19 folders. i don't know how to view the rest of the folders when moving items, so what should i do?   thank you,  ashleigh",Help
18,"19 folders total, but can only view about 8 of them when using linked inbox. what to do?","is your window maximized?          dave  oregonian, woodworker, engineer, musician, and pioneer",Help
19,"19 folders total, but can only view about 8 of them when using linked inbox. what to do?","no. it s restored, and i can t seem to maximize with alt space and x. any other ideas?    ashleigh piccinino         sent from    mail  for windows 10",Answer
20,"19 folders total, but can only view about 8 of them when using linked inbox. what to do?","ashleigh,           you can try to maximize with windows up arrow.    good luck.    paul",Answer
21,"19 folders total, but can only view about 8 of them when using linked inbox. what to do?","hello;  i hope i m understanding your question;        to do this          1. in the mail app, tap or click the more option to expose your email folders.     2. locate the folder you want quick access to and right-click (or long tap) and choose add to favorites.     so, open windows 10 mail,  once the app loads,  using jaws, tab until you hear something like,  navigation collapsed,  press the spacebar to expand,  now you should see all of your folders,  now find the folder, and press applications key, and enter on add  to favorites.  hope this helps.",Answer
22,"19 folders total, but can only view about 8 of them when using linked inbox. what to do?","i can see all my folders, but i guess i ll just have to move things based on the account.              sent from    mail  for windows 10",Answer
23,2 accounts in outlook 2016,"hi:      i have 2 accounts in my outlook 2016 and am using jaws 18.      for some reason, after i added my 2 nd  account, a gmail one, i no longer receive messages in my original account although i did not touch anything there.      any advice?      thank you.      regards,  lauren",Help
24,2016 and advanced find,"since updating to outlook 2016, the advanced find dialog hangs on  after i press the find now button. it hangs on stop and stays there.  it used to simply find what i was looking for, (say something in the subject line) and i could find the list of messages by pressing the f6 key.  has anyone else had this issue?           brian albriton  iphone 2136103315  cocanut50@...",Help
25,2016 and advanced find,"hello there;  i also find the advance search doesn't work, i use the f3 key to search type  in criteria,    shift+tab a few times to the search results.             statistics are like a bikini.  what they reveal is suggestive, but  what they conceal is vital.",Answer
26,2016 and advanced find,"i'm not having issues with the find.  i just tried f3, which i had not used before and it found messages rather quickly.  i previously used control+e.    it doesn't identify itself as advanced find.  is there more steps to what you are doing?    richard",Answer
27,2016 and advanced find,"hi, richard.  i use control-shift-f to bring up the advanced find.  i'm still playing with f3 and will try control-e.  so here's an example.  i'd press control shift-f and the initial choice is a edit combo wher you  can type in a string you might find in the subject.  so i would type in sticky keys  press enter and after a few secondsthe program would stop searching.  at that point i would press f6 to get quickly to the results.  i would then select all the messages either delete or perhaps move them  somewhere.  all the best, brian    brian",Answer
29,2016 and advanced find,"hi all:    i have experienced the same issue with the advance search and outlook 2016. i reported it couple of times in the past to freedom scientific and was hoping as new jaws updates came out it will be fixed. this is not an issue with office 2013.  another frustrating issue with outlook 2016, which i also reported to fs, is that if you tried to add or edit your email signature, jaws does not read the text in the signature box. also accessing the list of attachments sometimes it works and others it doesn't. hopefully fs will work on fixing some of these issues soon.    thanks",Answer
35,2018 authorization question,"group,     i checked my upgrade status on the freedom scientific website and i am entitled to an upgrade.  i downloaded the appropriate 64 bit version and installed jaws 2018.  i went through the steps to activate the program and jaws informed me that activation was successful.  i then migrated settings from jaws 18.  when i went to the jaws window and activated the help menu and then to about.  to my surprise, it informs me that jaws is running in demonstration mode.  anyone have any ideas why this is occurring?     thanks in advance,  mark",Help
36,2018 authorization question,"hi,  have you tried restarting jaws?",Answer
